,L2,P2,X2,dL2dt,dP2dt,dX2dt,F200,P100,F3,F2,F4,F5,T2,T3,F100,T100,Q100,T201,Q200
25.155051,0.907925662100742,51.10429238985913,26.598158849101228,-0.0022810727544719353,0.07778061220222575,0.4498916473648719,230.03244934421582,212.5835532939891,50.270581022576096,1.5415415512524493,8.50407990383699,8.192957455028088,85.44475506237393,80.90987624165858,9.814710514791964,122.69535049661553,359.2184048413859,44.58909107437522,315.4288620185814
25.644949,0.9071151207203174,51.14076746371464,26.814842845119745,-0.0010003673023412315,0.0711779153818129,0.4357554406972887,230.03244934421582,212.5835532939891,50.270581022576096,1.5396283105037107,8.480379035543114,8.195667374015864,85.53297488100658,80.92836910410333,9.79146653784466,122.69535049661553,358.3676752851145,44.5955704013029,315.5331938996107
26.0,0.9069405053245706,51.165218178250484,26.96833393224829,3.124717686640816e-05,0.06657887768648132,0.4294042171929337,230.03244934421582,212.5835532939891,50.270581022576096,1.5355756036015868,8.463799452861085,8.19748394211516,85.59468771612627,80.940765616373,9.775206566569404,122.69535049661553,357.77256033644016,44.5999137557186,315.6031317714337
26.155051,0.9069771438136836,51.175388941335875,27.034634086924196,0.0004300296465727934,0.06461432513645535,0.4254939380236564,230.03244934421582,212.5835532939891,50.270581022576096,1.5347025266228533,8.45669688044569,8.198239579899868,85.62112504502673,80.94592219325729,9.768240913351852,122.69535049661553,357.5176174286778,44.60172046074119,315.6322238261449
26.644949,0.9074617422496566,51.20556046410571,27.23935141634651,0.0015081108302661317,0.058617722087476044,0.4095354257181831,230.03244934421582,212.5835532939891,50.270581022576096,1.5348857190684178,8.434952064326259,8.200481175976355,85.70206400939169,80.96121915530159,9.746915280959975,122.69535049661553,356.73709928313514,44.60708004303309,315.7185252750897
27.0,0.9081128778157509,51.22563403426944,27.38228874897391,0.0021386033129483,0.054486669690830124,0.3952484486143272,230.03244934421582,212.5835532939891,50.270581022576096,1.5373087112482835,8.419919222492751,8.20197254372943,85.75801953657496,80.9713964553746,9.732172233376321,122.69535049661553,356.1975037415734,44.61064585414596,315.77594293358305
27.155051,0.9084388160455878,51.23394887116354,27.442395698929367,0.002290941206651252,0.05275662287055628,0.386161121761072,230.03244934421582,212.5835532939891,50.270581022576096,1.5405643890787544,8.41361678678822,8.202590295305995,85.78147858153076,80.97561207767991,9.725991292306503,122.69535049661553,355.97128129841803,44.612122877792316,315.79972636928085
27.644949,0.9097983404897166,51.258486623111246,27.62799929858697,0.00317393630118521,0.04747846597262399,0.36961315165887615,230.03244934421582,212.5835532939891,50.270581022576096,1.542194080227939,8.394327193748358,8.20441332985786,85.85327866827755,80.9880527179174,9.70707355265317,122.69535049661553,355.27889202710605,44.61648169328284,315.8699131995276
28.0,0.9109899914411831,51.27469923609168,27.7559858582557,0.003493790740812133,0.04387865882387336,0.35031041061408524,230.03244934421582,212.5835532939891,50.270581022576096,1.5489917024485833,8.381132482735174,8.205617847439681,85.90239227027982,80.99627251269848,9.694133201489072,122.69535049661553,354.8052751745001,44.61936165509645,315.91628712642773
28.155051,0.9115003127815211,51.28138920647393,27.808540656630306,0.003467029675820617,0.04239864246732603,0.3379555448006879,230.03244934421582,212.5835532939891,50.270581022576096,1.5549499572059151,8.375709449277673,8.206114879408368,85.9225779876184,80.99966432768228,9.68881471006894,122.69535049661553,354.6106183885232,44.62055004214166,315.9354228572222
28.644949,0.9133982995638855,51.30104022503134,27.970806861094687,0.004169067776550832,0.03788555672765754,0.32177122850437234,230.03244934421582,212.5835532939891,50.270581022576096,1.5575015639076053,8.359117080561377,8.207574853650748,85.9843384151558,81.0096273940909,9.672542199241041,122.69535049661553,354.01504449222216,44.62404079240579,315.99163186555376
29.0,0.9149045092863218,51.31394479420157,28.08141137166909,0.004256362015085453,0.03483691551683147,0.29983335669123695,230.03244934421582,212.5835532939891,50.270581022576096,1.566991497819428,8.347881261878863,8.208533599811538,86.02616059120736,81.01617001066019,9.661522978037741,122.69535049661553,353.61174099618137,44.62633312285716,316.0285435927442
29.155051,0.9155167722169925,51.31925245167424,28.125811064185857,0.004106289071772279,0.0336059348545663,0.2857638171381877,230.03244934421582,212.5835532939891,50.270581022576096,1.5745225464316093,8.343351672132945,8.20892793271468,86.04302071552475,81.01886099299884,9.65708070704879,122.69535049661553,353.44915387798574,44.62727595982363,316.04372540951516
